Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Music & Audio,3.4,5.0,850.0,True,0.0,4,Everyone,True,False,False,32.0,8.2,805.0,264.0
News & Magazines,3.2,733.0,176707.0,True,0.0,5,Everyone 10+,False,False,False,44.0,37.0,473.0,95.0
Business,2.5,10.0,819.0,True,0.0,4,Everyone,True,True,False,21.0,3.9,353.0,144.0
Music & Audio,4.5,8.0,296.0,True,0.0,4,Everyone,True,False,False,17.0,5.6,486.0,485.0
Business,4.2,54.0,11838.0,True,0.0,5,Everyone,False,False,False,8.0,32.0,1492.0,511.0
Music & Audio,4.5,2931.0,299111.0,True,0.0,5,Everyone,True,True,False,38.0,12.0,2274.0,86.0
Health & Fitness,5.0,14.0,43.0,True,0.0,7,Everyone,True,False,False,43.0,30.0,150.0,4.0
Finance,4.0,2391.0,135683.0,True,0.0,6,Everyone,False,False,False,48.0,67.0,513.0,42.0
Lifestyle,3.3,15.0,685.0,True,0.0,4,Everyone,False,False,False,21.0,11.0,1422.0,193.0
Personalization,4.6,44.0,4735.0,True,0.0,5,Everyone,True,False,False,20.0,8.8,376.0,376.0
Role Playing,4.2,4787.0,268764.0,True,0.0,6,Teen,True,True,False,11.0,34.0,350.0,77.0
Business,5.0,6.0,165.0,True,0.0,4,Everyone,False,False,False,6.0,5.9,956.0,531.0
Maps & Navigation,3.2,12.0,5975.0,True,0.0,4,Everyone,True,False,False,18.0,2.5,1671.0,429.0
